brand,cat_code,category1,category2,category3,category4
인터미션,50000437,화장품/미용,스킨케어,스킨/토너,
더하르나이,50000440,화장품/미용,스킨케어,크림,
핑크원더,50000443,화장품/미용,스킨케어,페이스오일,
닥터랩,50000440,화장품/미용,스킨케어,크림,
비건이펙트,50000455,화장품/미용,클렌징,클렌징젤,
유리드,50000440,화장품/미용,스킨케어,크림,
바루랩,50000439,화장품/미용,스킨케어,에센스,
펠드아포테케,50000445,화장품/미용,선케어,선크림,
테라비코스,50000439,화장품/미용,스킨케어,에센스,
모어벨라,50000464,화장품/미용,마스크/팩,필오프팩,
주닥,50000439,화장품/미용,스킨케어,에센스,
시오리스,50000454,화장품/미용,클렌징,클렌징로션,
수아이레,50000440,화장품/미용,스킨케어,크림,
프랑스와즈,50000439,화장품/미용,스킨케어,에센스,
셀지온,50000440,화장품/미용,스킨케어,크림,
브리스킨,50000463,화장품/미용,마스크/팩,마스크시트,
아미니,50000285,화장품/미용,바디케어,바디클렌저,
아드망,50000437,화장품/미용,스킨케어,스킨/토너,
메이베나,50000463,화장품/미용,마스크/팩,마스크시트,
플렌티플랜트,50000437,화장품/미용,스킨케어,스킨/토너,
땡큐파머,50000445,화장품/미용,선케어,선크림,
애즈이즈투비,50000437,화장품/미용,스킨케어,스킨/토너,
백아율,50000440,화장품/미용,스킨케어,크림,
라이크셀,50000439,화장품/미용,스킨케어,에센스,
아이피부랩,50000439,화장품/미용,스킨케어,에센스,
프롬리에,50000445,화장품/미용,선케어,선크림,
라브린,50000439,화장품/미용,스킨케어,에센스,
네추럴더마프로젝트,50000437,화장품/미용,스킨케어,스킨/토너,
닥터미라클,50000439,화장품/미용,스킨케어,에센스,
솝드,50000452,화장품/미용,클렌징,클렌징오일,
라밀,50000439,화장품/미용,스킨케어,에센스,
아크메르,50000437,화장품/미용,스킨케어,스킨/토너,
메이드미,50000439,화장품/미용,스킨케어,에센스,
글로오아시스,50000437,화장품/미용,스킨케어,스킨/토너,
수이스킨,50000439,화장품/미용,스킨케어,에센스,
오늘하루맑음,50000442,화장품/미용,스킨케어,미스트,
트리앤씨,50000443,화장품/미용,스킨케어,페이스오일,
셀비엔,50000439,화장품/미용,스킨케어,에센스,
앤서나인틴,50000437,화장품/미용,스킨케어,스킨/토너,
올리올리,50000451,화장품/미용,클렌징,클렌징폼,
더마로사,50000440,화장품/미용,스킨케어,크림,
하루하루원더,50000437,화장품/미용,스킨케어,스킨/토너,
아이뽀,50000440,화장품/미용,스킨케어,크림,
메리메디,50000437,화장품/미용,스킨케어,스킨/토너,
배드스킨,50000439,화장품/미용,스킨케어,에센스,
SIITA,50000440,화장품/미용,스킨케어,크림,
리바이리,50000463,화장품/미용,마스크/팩,마스크시트,
글로우베리,50000439,화장품/미용,스킨케어,에센스,
블랑네이처,50000451,화장품/미용,클렌징,클렌징폼,
세나큐즈,50000439,화장품/미용,스킨케어,에센스,
주미소,50000440,화장품/미용,스킨케어,크림,
아말다,50000437,화장품/미용,스킨케어,스킨/토너,
써니콘,50000445,화장품/미용,선케어,선크림,
모클리,50000443,화장품/미용,스킨케어,페이스오일,
에이스노,50000463,화장품/미용,마스크/팩,마스크시트,
드문,50000439,화장품/미용,스킨케어,에센스,
리브어스,50000439,화장품/미용,스킨케어,에센스,
더메디닥터,50000461,화장품/미용,클렌징,스크럽/필링,
유스데스크,50000445,화장품/미용,선케어,선크림,
르끌랭나인,50000439,화장품/미용,스킨케어,에센스,
피부미,50000440,화장품/미용,스킨케어,크림,
비앤힐,50000439,화장품/미용,스킨케어,에센스,
그레이멜린,50000452,화장품/미용,클렌징,클렌징오일,
페슬로,50000465,화장품/미용,마스크/팩,워시오프팩,
본트리,50000440,화장품/미용,스킨케어,크림,
오늘부터어성초,50000444,화장품/미용,스킨케어,화장품세트,
트러블레스,50000463,화장품/미용,마스크/팩,마스크시트,
티큐라,50000444,화장품/미용,스킨케어,화장품세트,
다디리,50000439,화장품/미용,스킨케어,에센스,
코슬로우,50000439,화장품/미용,스킨케어,에센스,
비브,50000440,화장품/미용,스킨케어,크림,
더센트,50000437,화장품/미용,스킨케어,스킨/토너,
오린힐,50000437,화장품/미용,스킨케어,스킨/토너,
소본,50000440,화장품/미용,스킨케어,크림,
다이아피아,50000440,화장품/미용,스킨케어,크림,
닥터에프파이브,50000439,화장품/미용,스킨케어,에센스,
닥토브,50000439,화장품/미용,스킨케어,에센스,
프레쥬,50000440,화장품/미용,스킨케어,크림,
디어마이페이스,50000440,화장품/미용,스킨케어,크림,
모브 판타스틱에버,50000440,화장품/미용,스킨케어,크림,
바이피토,50000463,화장품/미용,마스크/팩,마스크시트,
23yearsold,50000440,화장품/미용,스킨케어,크림,
